Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max           Deleted,,,,,,,,,,,,,,Active,,,,,,,,,,,,,
ss   SS602299                   TEXTILE PAINT 2 OZ S 602299    JAJAC1112             743772111207,,,,,,,,,,,$2.32,,1,,,"MA
$4.89",,,,EA,,,Yes,,,,ss,,,SPECIALTY,,,,,1,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ss   SS602744                   TEXTILE PAINT 2 OZ V 602744    JAJACll 10            743772lll009,,,,,,,,,,,$2.23,,,,,$4.89,,,,EA,,,Yes,,,,ss,,,SPECIALTY,,,,,1,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS603287                   RR BO PCK 22X28 4PL
603287    PP54811                  045173548119",,,,,,,,,,,$0.47,,l,,,$LIS,,,,EA,,,Yes,,,,ss,,,,,,,,10,,,,0,,35,,,,,,,,,,,,,,,,,,,,,,,
ss   SS603309                   RR BO PCK 22X28 4PL,,,,,,,,,,,,,1,,,MA,,,,,,,,,,,,,,2,,,,,2,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
603309    PP54501                  045173545019,,,,,,,,,,,$0.35,,,,,Sl.15,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS603635                   RR BO PCK 22X28 4PL,,,,,,,,,,,1,,,,,5         30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"603635    PP54781                  045173547815
ss   SS603716                   RR BD PCK 22X28 4PL",,,,,,,,,,$0.45,,,1,,"$1.15
MA",,,,,EA,,,Yes,,,ss,,,,,,,,"0
5         30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603716    PP54751                  045173547518,,,,,,,,,,$0.47,,,,,SUS,,,,,EA,,,Yes,,,ss,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS603740                   RR BO PCK 22X28 4PL
603740    PPS4691                  045173S46917",,,,,,,,,,$0.41,,,I,,"MA
$1.lS",,,,,EA,,,Yes,,,ss,,,,,,,,"10         35
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS60590S                   LIQ ACRY 2 OZ PRM H
605905    LQI045225             094376921601",,,,,,,,,,$4.27,,,l,,"MA
$9.49",,,,,EA,,,Yes,,,ss,,,,PAINT,,,,"l
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS617849                   FOAMBOARD WHITE 2
617849    BF9S0398               079946137460",,,,,,,,,,$2.75,,,l,,"MA
$6.97",,,,,SH,,,Yes,,,ss,,,,26,,,,"5          15
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS633364                   MODEL MAGIC 40Z  P
633364    BSS74401               071662S44010",,,,,,,,,,$2.S6,,,I,,"MA
$S.15",,,,,EA,,,Yes,,,ss,,,,CLAY,,,,"2
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS634719                   SM W/C POSTCARDS B
634719    SM7044                   012017704048",,,,,,,,,,$2 .14,,,I,,$6.29,,,,,EA,,,Yes,,,ss,,,,ADHESIVE,,,,"2
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS637734                   V.G. OIL PAS(6) MARS 637734    CN9S86S38S           871207909501,,,,,,,,,,$0 .9S,,,l,,"MA
$2.4S",,,,,EA,,,Yes,,,ss,,,,ART AISLE,,,,"2
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS637742                   V.G. OILPAS(6)LTGL 637742    CN9S86802S          871207909561,,,,,,,,,,$0.83,,,1,,"MA
$2.45",,,,,EA,,,Yes,,,ss,,,,ART AISLE,,,,"2
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No
2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,,0,,,,,,,
"No
0     OS/24/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,,0,,,,,,,
"No
0     update",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,,0,,,,,,,
"No
8     update",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,,0,,,,,,,
"No
7     update",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,,0,,,,,,,
"4
6
8
8
ss   SS637793                   V.G. OIL PAS(6) BT SIE                    l              MA                                                    ART AISLE                   2            8
637793    CN9586411S          871207909471                    $0.88                    $2.45      EA         Yes         ss                 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 42 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vendor   Item ID
Product ID   Alternate ID",,,,,,,"Description
Barcode                       Cost",,,,,,,,,,,"Dept         Ma_nfacturer                                    Location              Min       Max           Deleted             Active
Price         Unit    Tax           Supplier 1       Supplier2                 QCom   QOH  Note       Multiplier          Fb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS637815                  V.G. OIL PAS(6) SAPG 637815    CN95866235          871207909529,,,,,,,,,,,,,,,$0.92,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,"8         No                    Yes
11    update                           0      0",,,,,,,,,,,,,,,,,
"ss   SS637858                  V.G. OIL PAS(6) BLUE
637858    CN95865485          871207909507",,,,,,,,,,,,,,,$0.88,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,8,"No
8",,,,update,,Yes,,,,,,0,,,0,
ss   SS637904                  V.G. OIL PAS(6) SEPIA 637904    CN95864l65          871207909473,,,,,,,,,,,,,,,$1.01,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,8,"No
3",,,,update,,Yes,,,,,,0,,,0,
ss   SS637971                  V.G. OIL PAS(6) SCARL 637971    CN95863345          871207909447,,,,,,,,,,,,,,,$0.88,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,8,"No
0",,,,update,,Yes,,,,,,0,,,0,
ss   SS637998                  V.G. OIL PAS(6) ULTR 637998    CN95865075          871207909479,,,,,,,,,,,,,,,$1.01,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,8,"No
4",,,,update,,Yes,,,,,,0,,,0,
ss   SS638137                  V.G. OIL PAS(6) TRQ B 638137    CN95865225          871207909489,,,,,,,,,,,,,,,S0.92,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,8,"No
6",,,,update,,Yes,,,,,,0,,,0,
ss   SS638218                  V.G. OIL PAS(6) RAW 638218    CN95864085          871207909467,,,,,,,,,,,,,,,$1.01,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,8,"No
4",,,,update,,Yes,,,,,,0,,,0,
ss   SS638242                  V.G. OIL PAS(6) GLDO 638242    CN95862315          871207909417,,,,,,,,,,,,,,,$1.01,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,8,"No
8",,,,update,,Yes,,,,,,0,,,0,
ss   SS638269                  V.G. OIL PAS(6) SlLVE 638269   CN95868005          871207909557,,,,,,,,,,,,,,,$1.01,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,8,"No
2",,,,update,,Yes,,,,,,0,,,0,
ss   SS638358                  V.G. OIL PAS(6) GRN G 638358    CN95867095          871207909549,,,,,,,,,,,,,,,S0.92,,,"MA
$2.45",,,,,,EA,,,Yes,,,ss,,ART AISLE,,,,,,,2,,,,,0,,,8,"No
7",,,,update,,Yes,,,,,,0,,,0,
ss   SS641081                  FOAMBOARD WHITE 2,,,,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,,,,,,,10,,,,,35         No                   Yes,,,,,,,,,,,,,,,,,,,,
641081    BF900105              079946074826,,,,,,,,,,,,,,,$2.30,,,$5.15,,,,,,SH,,,Yes,,,ss,,,,,,,,,,,,,,0         23    2/1212                        0      0,,,,,,,,,,,,,,,,,,,,
ss   SS642061                  RR BD PCK 22X28 4PL,,,,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,,,,,,,3,,,,,28         No                   Yes,,,,,,,,,,,,,,,,,,,,
642061    PP54661                 045173546610,,,,,,,,,,,,,,,$0.47,,,Sl.15,,,,,,EA,,,Yes,,,ss,,,,,,,,,,,,,,0         12                                      0      0,,,,,,,,,,,,,,,,,,,,
ss   SS642177                  RR BD PCK 22X28 4PL,,,,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,10,,,,,,,,,,,,35,,,,No,,,,Yes,,,,,,,,,,,,
642177    PP54521                 045173545217,,,,,,,,,,,,,,,$0.36,,,Sl.15,,,,,,EA,,,Yes,,,ss,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,0,
ss   SS642207                  RR BD PCK 22X28 4PL,,,,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,10,,,,,,,,,,,,35,,,,No,,,,Yes,,,,,,,,,,,,
642207    PP54711                 045173547112,,,,,,,,,,,,,,,$0.47,,,$1.15,,,,,,EA,,,Yes,,,ss,,,,,,,,,,,,,,0         23                                      0     0,,,,,,,,,,,,,,,,,,,,
"ss   SS644781                  MODEL MAGIC COMP
644781    BS574400              071662000769",,,,,,,,,,,,,,,$15.21,,,"MA
$26.69",,,,,,EA,,,Yes,,,ss,,CLAY,,,,,,,0,,,,,0,,,No 1,,,,,Yes,,,,,,,,0,,,0,
"ss   SS645419                  PENCIL DRAWlNG KIT                  1              MA                                                    BOOKS
645419    W                                                                                                                                                                                                             0
ss   SS646369                  LQ CERAMIC STUCCO                                  MA                                                    PAINT AISL
646369   L                                                                                                                                                                                                              0
ss   SS646377                  LQ BLENDED FIBERS                                    MA                                                      PAINT AISL
646377    L                                                                                                                                                                                                              0
ss   SS646393                  LQ NATURAL SANDT                                   MA                                                      PAINT AISL
646393    L                                                                                                                                                                                                              0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FK02                  050283100010                   $7.48                 $18.95      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0
Q6408                  094376924367                   $5.62                   $6.25      EA         Yes         ss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0
Q6708                  094376924428                   $5.89                 $13.09      EA         Yes         ss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0
Q6508                  094376924381                   $5.62                   $6.25     EA        Yes         ss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2         No
2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,0,,,0,
"0         No
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,0,,,0,
"I         No
l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,0,,,0,
"0         No
0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,0,,,0,
Page 43 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vendor   Item ID                      Description                                     Dept         Ma_nfacturer                                    Location              Min       Mu     Deleted              Active
Product ID  Alternate ID         Barcode                         Cost                       Price          Unit     Tu    Supplier 1       Supplier2                  QCom    QOH     Note        Multiplier           Fixed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS661341                 DAS TERRACOTTA CL
661341    DT00311               800014404300",,,,,,,,,,$1.73,,,"MA
$7.85",,,,,,EA,,Yes,,,,ss,,,,CLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS663018                 FW INK 102  FLUOR. B
663018    DAl60029028        50761913",,,,,,,,,,$3.69,,,"MA
$8.20",,,,,,EA,,Yes,,,,ss,,,,ART AISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS663212                 FW GOLD ACRYLIC IN
663212   DAl60029701        50761937",,,,,,,,,,$3.14,,,"MA
$8.20",,,,,,EA,,Yes,,,,ss,,,,ART AISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS664596                  MODELING CLAY 5 W
664596    VAI0509               031002105097",,,,,,,,,,$8.09,,,"MA
$15.99",,,,,,EA,,Yes,,,,ss,,,,CLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS665800                  MOD PODGE GLOSS 8
665800   PCCSl1201           028995112010",,,,,,,,,,$3.03,,,"MA
$6.37",,,,,,EA,,Yes,,,,ss,,,,PAPERMAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS665894                 MOD PODGE GLOSS l
665894    PCCSI1202           028995112027",,,,,,,,,,$4.74,,,"MA
$9.97",,,,,,EA,,Yes,,,,ss,,,,PAPERMAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS665932                 MOD PODGE MATTE l
665932    PCCS11302           028995113024",,,,,,,,,,$4.74,,,"MA
$9.97",,,,,,EA,,Yes,,,,ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS665940                 MOD PODGE MATTE 8
665940    PCCSl 1301           028995113017",,,,,,,,,,$3.03,,,"MA
$6.37",,,,,,EA,,Yes,,,,ss,,,,PAPER MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
