ss   SS001007                   LIQ ACRY 2 OZ TITAN,,,,,,,,,,,,l,MA,,,,,PAINT,4,,,,7,No,,,Yes,,,,
001007    LQ1045432            094376922042,,,,,,,,,$4.12,,,,$10.29,EA,Yes,,ss,,,,,0,,3,reg$8.,,,0,,0,
ss   SS001074                  SM DRAWING PAD 18,,,,,,,,,,,,1,MA,,,,,PAPERPAD,2,,,,14,No,,,Yes,,,,
001074    SM4008                  012017440182,,,,,,,,,$7.65,,,,$23.59,EA,Yes,,ss,,,,,0,,8,,,,0,,0,
ss   SS001082                  LIQ ACRY 2 OZ MARS,,,,,,,,,,,,l,MA,,,,,PAINT,1,,,,3,No,,,Yes,,,,
001082    LQI045276            094376921779,,,,,,,,,$4.50,,,,$9.99,EA,Yes,,ss,,,,,0,,2,reg$?.,,,0,,0,
ss   SS001090                  ABT DUAL BRSH Nl5,,,,,,,,,,,,1,MA,,,,,ART AISLE,8,,,,20,No,,,Yes,,,,
001090    TB56621                 085014566216,,,,,,,,$1.44,,,,,$3.19,EA,Yes,,ss,,,,,0,10    reg$3.                          0      0,,,,,,,,
ss   SSOOl147                  LQGESSO 1602,,,,,,,,,,,,l,MA,,,,,PAINT AISL,I,,,,2,No,,,Yes,,,,
001147    LQ5316                  094376923957,,,,,,,,,$ll.70,,,,$25.99,EA,Yes,,ss,,,,,0,,I,,,,0,,0,
ss   SS0Ol155                  SM DRAWING PAD 9X,,,,,,,,,,,,1,MA,,,,,PAPERPAD,4,,,,16,No,,,Yes,,,,
001155    SM4004                  012017440090,,,,,,,,,$2.82,,,,$8.59,EA,Yes,,ss,,,,,0,,0,,,,0,,0,
ss   S$001163                  KRYLON CRYSTAL CL,,,,,,,,,,,,1,MA,,,,,ART AISLE,2,,,,6,No,,,Yes,,,,
001163    KR1303                  724504013037,,,,,,,,,$4.64,,,,$13.25,EA,Yes,,ss,,,,,0,,2,reg 11.,,,0,,0,
Vendor   Item ID,,,,Description,,,,,,,Dept          Manufacturer,,,,,,,,,,,,,,,,,,,,
Product ID   Alternate ID,,,,Barcode,,,Cost,,,,Price          Unit     Tax,,,,,,,,,,,,,,,,,,,,
"Location
Supplier 1       Supplier2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,,,,,,,,,,,,,,,,,,,,Max            Deleted,,,,,,,Active,,,,
,,,,,,,,,,,,,,,,,,,,QCom   QOH     Note,,,,,,,Multiplier,,,Fi,
ss   SS001198                  LIQ ACRY 2 OZ IVRY 001198    LQ1045244            094376921755,,,,,,,,,$4.12,,,l,"MA
$10.29",EA,Yes,,ss,PAINT,2,,,0,s,No 5,,,Yes,0,0,,
"ss   SS00120l                  LIQ ACRY 2 OZ ULTRA
001201    LQ1045380            094376921939",,,,,,,,,$4.63,,,1,"MA
$10.29",EA,Yes,,ss,PAINT,I,,,0,2,"No
I",,,Yes,0,0,,
"ss   SSOOl228                  SM DRAWING PAD II
001228    SM4005                 012017440113",,,,,,,,,$3.79,,,l,"MA
$11.75",EA,Yes,,ss,PAPERPAD,2,,,0,"14         No                   Yes
16    4/12                            0      0",,,,,,,,
ss   SSO0l266                  TRU RAY 9Xl2 ASSOR,,,,,,,,,,,,l,,,,,,,l,,,,2         No                   Yes,,,,,,,,
001266    PPI03031               084001030310,,,,,,,,,$2.33,,,,$3.97,,Yes,,ss,,,,,0           I    3/10                           0      0,,,,,,,,,
ss   SSOOl279                  PRISMA KNEADED ER,,,,,,,,,,,,I,MA,,,,,ART AISLE,12,,,24         No                   Yes,,,,,,,,,
001279    SA7053l                070530705317,,,,,,,,,$0.70,,,,$1.30,EA,Yes,,ss,,,,,0          12    12 ite                          0      0,,,,,,,,,
ss   SSO0l295                  SM SKETCH PAD 9Xl2,,,,,,,,,,,,I,,,,,,PAPERPAD,3,,,15         No                   Yes,,,,,,,,,
001295    SM4553                 012017455094,,,,,,,,,$5.19,,,,$15.25,EA,Yes,,ss,,,,,0          12                                       0      0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
ss   SSO0l384                  LIQ ACRY 2 OZ NAPH 001384    LQ1045292            094376921786,,,,,,,,,$5.12,,,1,"MA
$12.79",EA,Yes,,ss,PAINT,,"I            3         No                   Yes
0            2    reg$l",,,,,,,,,,,
ss   SS001406                  KRYLON WORKABLE,,,,,,,,,,,,I,MA,,,,,ART AISLE,,3            6         No                   Yes,,,,,,,,,,,
001406    KR1306                 724504013068,,,,,,,,,$4.71,,,,$13.45,EA,Yes,,ss,,,,,0,,4,,,,0,0,,
ss   SS001430                  SM DRAWING PAD 8X,,,,,,,,,,,,I,MA,,,,,PAPERPAD,,3,,15,,No,,,Yes,,,,
001430    SM4003                 012017440083,,,,,,,,,$2.80,,,,$6.99,EA,Yes,,ss,,,,,0,,5,,,,0,0,,
ss   SSO0l481                  WN LIQUIN  2.502,,,,,,,,,,,,I,MA,,,,,PAINT AISL,,I,,2,,No,,,Yes,,,,
001481    WN3222991           094376886382,,,,,,,,,$4.05,,,,$8.99,EA,Yes,,ss,,,,,0,,2,,,,0,0,,
ss   SS001619                  LIQ ACRY 2 OZ PHTH,,,,,,,,,,,,l,MA,,,,,PAINT,,I,,2,,No,,,Yes,,,,
001619    LQ1045316            094376921854,,,,,,,,,$4.12,,,,$10.29,EA,Yes,,ss,,,0            2    reg$8.                        0      0,,,,,,,,,,,
ss   SS001627                  PRISMAPNCL 24 SET C,,,,,,,,,,,,I,MA,,,,,ART AISLE,,2            5         No                   Yes,,,,,,,,,,,
001627    SA3597                  070735035974,,,,,,,,,$14.80,,,,$50.23,BX,Yes,,ss,,,,,0,,2,,,,0,,0,
ss   SS001643                  SM WATERCOLOR400,,,,,,,,,,,,l,MA,,,,,PAPER PAD,,4,,16,,No,,,Yes,,,,
001643    SM4401                 012017471094,,,,,,,,,$4.66,,,,$11.65,EA,Yes,,ss,,,,,0,,6     4/12,,,,0,,0,
"ss   SSOOl694                  PRISMAPNCL 12/SET T
001694    SA3596                  070735035967",,,,,,,,,$7.67,,,1,"MA
$25.14",BX,Yes,,ss,ART AISLE,,"2            6         No                   Yes
0            0    24/15                          0      0",,,,,,,,,,,
"ss   SS001708                  HIGGINS INK BLCK W
001708    CH44201                014173368836",,,,,,,,,$2.88,,,1,"MA
$5.15",EA,Yes,,ss,ART AISLE,,4,,0,9,No 7,,,Yes,0,0,,
"ss   SSOOl732                  KNIFE  l CARDED  (12)
001732    XAX3201               079946320107",,,,,,,,,$2.41,,,1,"MA
$4.47",EA,Yes,,ss,DRAFTING,,6,,0,10,"No
8",,,Yes,0,0,,
ss   SSOOl767                  SM DRAWING PAD 6X,,,,,,,,,,,,1,MA,,,,,PAPERPAD,,4,,,28,No,,,Yes,,,,
001767    SM4002                 012017440069,,,,,,,,,$2.04,,,,$5.09,EA,Yes,,ss,,,,,0,17    reg4.5                        0      0,,,,,,,,
"ss   SS00l783                  LQ GESSO 3202
001783    LQ5332                  094376924046",,,,,,,,,$16.65,,,I,"MA
$36.99",EA,Yes,,ss,PAINT AISL,,0,,0,1,"No
I",,,Yes,0,0,,
"ss   SS00l805                  LQGESS08OZ
001805    LQ5308                  094376923940",,,,,,,,,$7.33,,,I,"MA
$16.29",EA,Yes,,ss,PAINT AISL,,3,,0,5,"No
2",,,Yes,0,0,,
Vendor    Item ID,,,,Description,,,,,,,Dept          Ma_ufacturer                                       Location                Min       Mu:           Deleted             Active,,,,,,,,,,,,,,,,,,,,
Product ID   Alternate ID,,,,Barcode,,,Cost,,,,Price         Unit     Tax           Supplier 1       Supplier2                  QCom   QOH     Note       Multiplier          Fil,,,,,,,,,,,,,,,,,,,,
ss   SS001828                  SM KIDS ORAWING PP                 1                                                                               KIDSART                     1            7         No                     Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001828    SM27119                012017271199,,,,,,,,,$4.90,,,,$9.79,EA,Yes,,ss,,,,,0,,2    6/2005,,,,0,,0,
ss   SS001848                  SM WATERCOLOR 300,,,,,,,,,,,,I,MA,,,,PAPERPAD,,4,,,16,,No,,,Yes,,,,
001848    SM3609,,,,,012017371097,,,,$4.04,,,,$10.09,EA,Yes          ss                 0          16                                         0      0,,,,,,,,,,,,,,,,
ss   SSO0I872 001872    LQ1045128,,,,,LIQ ACRY 2 OZ BNT U 094376921434,,,,$4.12,,,1,"MA
$10.29",EA,Yes,,ss,PAINT,"1            2         No                     Yes
0             2                                         0      0",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No
2    reg$8.",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
ss   SS002038                  LIQ ACRY 2 OZ BNT SI 002038    LQ1045127             094376921427,,,,,,,,,$4.12,,,1,"MA
$10.29",EA,Yes,,ss,PAINT,,"1            2
0",,,,,,,,,,,
ss   SS002089                  SCOTCH SPRAY MOU,,,,,,,,,,,,I,MA,,,,,ADHESIVE,,2            4,,,,,,,,,,,
002089    3M6065                  021200300608,,,,,,,,,$9.84,,,,$21.40,EA,Yes,,ss,,,,,0,,5,,,,0,,0,
ss   SS002194                   BLADE 11 5/PK CARD,,,,,,,,,,,,I,MA,,,,,DRAFTING,,6,,10,,No,,,Yes,,,,
002194    XAX2ll                 079946211009,,,,,,,,,$1.84,,,,$3.40,EA,Yes,,ss,,,,,0,,2,,,,0,,0,
ss   SS002246                  TWIN PACK PEN NIBS                     l                                                                               ART AISLE                   1            2         No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
002246    SP9480                   651032094804                    $1.92                    $3.83      EA        Yes          ss                 0             2    6/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
ss   SS002247                  TWIN PACK PEN NIBS                    1                                                                               ART AISLE                   l             2         No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
002247    SP948l                    65103209481 l                     $1.92                    $3.83      EA         Yes          ss                 0             2     6/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
ss   SS002250                   TWIN PACK PEN NIBS                    1                                                                               ART AISLE                   l             2         No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
002250    SP9484                   65l032094842                    $2.63                    $5.26      EA         Yes         ss                 0             2     6/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS002253                   TWIN PACK PEN NIBS 002253    SP9487                   651032094873,,,,,,,,,$1.92,,,l,$3.83,EA,Yes,,ss,ART AISLE,1,,0,,2,"No
2",6/2005,,Yes,0,,0,
"ss   SS002254                   TWIN PACK PEN NIBS
002254    SP9488                 651032094880",,,,,,,,,$1.92,,,1,$3.83,EA,Yes,,ss,ART AISLE,l,,0,,2,"No
2",6/2005,,Yes,0,,0,
ss   SS002453                   PENTEL OIL PASTELS 002453    PLPHN25               072512008973,,,,,,,,,$1.92,,,1,"MA
$4.69",BX,Yes,,ss,ART AISLE,3,,0,,5,"No
3     reg   $4.",,,Yes,0,,0,
"ss   SS002461                   ABT DUAL BRSH 845
002461    TB56596                085014565967",,,,,,,,,$1.44,,,1,"MA
$3.19",EA,Yes,,ss,ART AISLE,1,,0,,3,"No
3    reg$3.",,,Yes,0,,0,
"ss   SS002471                   DRAWING CLASS ESS
002471    GPIKIT                  044974100007",,,,,,,,,$7.00,,,l,$13.99,EA,Yes,,ss,ART AISLE,l,,0,,2,"No
2    6/2005",,,Yes,0,,0,
"ss   SS002674                   PENTEL OIL PASTEL l
002674    PLPHN12               072512008911",,,,,,,,,$0.92,,,l,$2.25,BX,Yes,,ss,ART AISLE,2,,0,,4,"No
4     reg   $2  .",,,Yes,0,,0,
ss   SS002860                  SILICOIL BRUSH CLEA 002860    SLSF                       607029000167,,,,,,,,,$5.01,,,l,"MA
$8.35",EA,Yes,,ss,PAINT AISL,l,,0,,2,"No
5",,,Yes,0,,0,
ss   SS002887                   LIQ ACRY 2 OZ RAWS 002887    LQ1045330            094376921892,,,,,,,,,$4.12,,,1,"MA
$10.29",EA,Yes,,ss,PAINT,1,,0,,2,"No
2     reg$8.",,,Yes,0,,0,
ss   SS002909                   LQ GLOSS MEDIUM  V 002909    LQ5008                  094376923797,,,,,,,,,$7.33,,,1,"MA
$16.29",EA,Yes,,ss,PAINT AISL,4,,0,,6,"No
5    4/12",,,Yes,0,,0,
ss   SS003077                   LIQ ACRY 2 OZ CAD R 003077    LQ1045154            094376921472,,,,,,,,,$9.00,,,l,"MA
$19.99",EA,Yes,,ss,PAINT,0,,0,,0,"No
0",,,Yes,0,,0,
Vendor   Item ID,,,,Description,,,,,,,Dept          Ma_ufacturer                                       Location               Min       Max            Deleted              Active,,,,,,,,,,,,,,,,,,,,
Product ID   Alternate ID,,,,Barcode,,Cost,,,,,Price          Unit     Tax           Supplier I       Supplier2                   QCom   QOH     Note        Multiplier,,,,,,,,,,,,,,,,,,,,
Fi:s:ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8         No       Yes
0           5                                    0      0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3         No
5    reg$1",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"3         No
2    reg $8.",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"3         No       Yes
0           3    reg 19.                        0      0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3         No       Yes
0           3    reg$1                        0      0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2         No       Yes
0           3                                      0      0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2         No       Yes
0           2                                      0      0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2         No
0           2    reg$8.",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"2        No
0           2    reg$1",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
16        No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
0         15    12/box,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,
"2         No
2",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"2         No
2    reg$8.",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"4         No
0            0     reg$2.",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"5         No
0            3",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"l         No
0            3",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"1        No
0            0     10/28/",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"3         No
0            2     reg $8.",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"2         No
0            2     reg$1",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
"2         No
0           2",,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,,0,,
ss   SS003085                  KRYLON MATTE FINIS                  I              MA                                                      ART AISLE                 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003085    KRl3ll,,,724504013112                   $4.64                 $13.25      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS003298                  LIQ ACRY 2 OZ CADY                   l              MA                                                      PAINT                         l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003298    LQ1045161,,,,094376921502                   $6.75                 $14.99      EA        Yes         ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS003352                  LIQACRY2OZRAWU                  l              MA                                                      PAINT                         l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003352    LQ1045331,,,,094376921908                   $4.27                   $9.49      EA        Yes         ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS003433                  ODORLESS TURPENOI                   I              MA                                                      PAINT AISL                2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003433    WA1684,,,018918016846                 $10.30                 $20.60      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS003573                  LIQ ACRY 2 OZ COBT                    I              MA                                                      PAINT                         I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003573    LQ1045170,,,,094376921557                   $8.00                 $19.99      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS003717                  LIQ ACRY 2 OZ PHTH                     l                                                                           PAINT                         I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003717    LQ1045314,,,,094376943405                   $5.00                 $12.49      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS003832                  LIQ ACRY 2 OZ IRID B                   l              MA                                                      PAINT                         I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003832    LQ1045234,,,,094376921670                   $5.00                 $12.49      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS003859                  LIQACRY2OZLTPO                                                                                                PAINT                         l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003859    LQ1045810,,,,094376922264                   $4.S0                   $9.99      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS003905                  LIQ ACRY 2 OZ CADY                   l              MA                                                      PAINT                         I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003905    LQI045160,,,,094376921496                   $6.00                 $14.99      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS003972                  PRISMA KNEADED ER                   I              MA                                                      ART AISLE                 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003972    SA70532,,,070530705324                   $1.12                   $2.08      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS0041 ll                   LQ GLOSS GEL MEDIU                   l              MA                                                       PAINT AISL                 I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004111    LQ5708,,,094376924183                   $6.75                 $14.99      EA        Yes         ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS004170                  LIQ ACRY 2 OZ YEL 0                    l              MA                                                       PAINT                          l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004170    LQ1045416,,,,094376922028                   $4.00                   $9.99      EA        Yes         ss                 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS004189                  PENTEL OIL PASTEL l                    l                                                                           ART AISLE                 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004189    PLPHN16,,,,072512008942                   $1.23                   $2.99      BX        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS004219                 ODORLESS TURPENOI                   I              MA                                                       PAINT AISL                2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004219    WAl682,,,018918016822                   $5.80                 $11.60      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS004340                  GR DAMAR VARNISH                    I              MA                                                      PAINT AISL                0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004340    GR5692,,,014173356376                   $4.71                 $12.40      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS004350                  KIMBERLY CLASSIC                      I                                                                                                               0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004350    GP700RETRO        044974307000                 $18.00                 $35.99      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS004448                  LIQ ACRY 2 OZ YELL                    l              MA                                                     PAINT                         l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004448    LQ10454ll,,,,094376921991                   $4.00                   $9.99      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS004596                  LIQ ACRY 2 OZ CERUL                  l              MA                                                       PAINT                         I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004596    LQ1045164,,,,094376921526                   $6.75                 $14.99      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS004731                  LIQ ACRY 2 OZ BRILL                    1             MA                                                    PAINT                          l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004731    LQ1045570,,,,094376922141                   $4.00                   $9.99      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,Description,,,,,,,,Dept         Maaufacturer                                    Location              Min      Max           Deleted             Active,,,,,,,,,,,,,,,,,,,,,
Product ID   Alternate ID,,,Barcode,,,Cost,,,,,Price         Unit    Tax           Supplier 1      Supplier?                  QCom   QOH     Note        Multiplier,,,,,,,,,,,,,,,,,,,,,
Fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS004774                   LINSEED OIL REFINED 004774    WN3222956           094376903225,,,,,,,,,$3.15,,,1,"MA
$6.99",EA,Yes,,ss,PAINT AISL,,2,,0,3,No 3,,,Yes,0,,0,,,
ss   SS004782                   TURQUOISE PENCIL 2,,,,,,,,,,,,1,MA,,,,,,,3,,,15,No,,,Yes,,,,,,
004782,,SA2263,,,070735022639,,,,$0.74,,,,$1.61,EA,Yes,,ss,,,,,0,11                                         0       0,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,
"ss
004790",,SS004790 SM3503,,,SM SKETCH PAD 3.5X 012017350030,,,,,$1.84,,1,"MA
$4.59",EA,Yes,ss,,PAPERPAD,,2,,0,26         No 16,,,,,,,,,,
"ss   SS004812                   ELEGANT WRITER SE
004812    SP2880                  651032028809",,,,,,,,,,$4.65,,I,"MA
$9.30",EA,Yes,ss,,ART AISLE,,1,,0,2,"No
2",,,Yes,0,,0,,,
ss   SS004901                   ABT DUAL BRSH 055 P 004901    TB56505                 085014565059,,,,,,,,,,Sl.44,,I,"MA
$3.19",EA,Yes,ss,,ART AISLE,,I,,0,3,"No
1     reg$3.",,,Yes,0,,0,,,
ss   SS004987                   LIQ ACRY 2 OZ MED 004987    LQ1045500             094376922097,,,,,,,,,,$4.63,,1,$10.29,EA,Yes,ss,,PAINT,,1,,0,2,"No
1     reg$8.",,,Yes,0,,0,,,
"ss   SS005029                   DRAWING KIT NO.10 (
005029    GPIO                       044974105576",,,,,,,,,,$6.25,,l,"MA
$12.49",EA,Yes,ss,,ART AISLE,,1,,0,7,"No
6",,,Yes,0,,0,,,
"ss   SS005045                   LIQ MATTE MED 802
005045    LQ5108                   094376923841",,,,,,,,,,$7.33,,l,"MA
$16.29",EA,Yes,ss,,PAINT AISL,,l,,0,2,"No
0",,,Yes,0,,0,,,
ss   SS005088                   LIQ ACRY 2 OZ PERM 005088    LQ1045224             094376921595,,,,,,,,,,$4.12,,l,"MA
$10.29",EA,Yes,ss,,PAINT,,l,,0,2,"No
2     reg$7.",,,Yes,0,,0,,,
